                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.2488,                 2.8305,                0.96105,                 1.3415,                0.81843,                0.77156,                0.84163,                0.46953,                0.21942,                0.17117,                0.06364,                0.01339,                 1.5735,                 2.7604,                 1.0094,                 1.7514,               0.000713,               0.000713,               0.000713
                     67,                 1.2337,                 2.7728,                0.96082,                 1.3107,                0.88946,                0.73874,                0.84502,                0.47391,                 0.2189,                0.13514,                0.05469,                0.01058,                  1.577,                 2.7556,                0.95805,                  1.764,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.2186,                 2.7692,                0.96032,                 1.3178,                0.78991,                0.72072,                0.81795,                0.45851,                0.25174,                0.15315,                0.05359,                0.00989,                 1.5653,                 2.6685,                 0.9909,                  1.731,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.2015,                 2.7446,                0.92482,                 1.3078,                0.87696,                0.77054,                0.85958,                0.49509,                0.23812,                0.15315,                0.07739,                0.01517,                 1.5677,                 2.6722,                0.89424,                 1.7569,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2238,                 2.7994,                0.92615,                 1.3097,                0.83475,                0.81917,                0.86646,                0.50798,                0.27259,                0.20721,                  0.102,                0.01829,                 1.5059,                  2.673,                0.88327,                 1.6986,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1812,                 2.7522,                0.88937,                 1.2972,                0.72946,                0.80159,                0.83526,                0.50367,                0.27419,                0.17117,                0.07986,                0.01745,                 1.4869,                 2.6914,                0.94472,                 1.6926,               0.000614,               0.000614,               0.000614
                     72,                 1.1932,                 2.7658,                0.87567,                  1.307,                0.83088,                0.74775,                0.82839,                0.45461,                0.24108,                0.18018,                0.08473,                0.01798,                 1.6154,                 2.8166,                0.99533,                 1.8111,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1688,                 2.7474,                0.87889,                 1.2759,                0.87413,                0.75077,                0.85109,                0.49434,                0.27376,                0.18018,                0.07649,                0.01357,                 1.4716,                 2.7153,                0.91721,                 1.6839,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1873,                 2.7217,                0.86983,                 1.2969,                0.87275,                0.74148,                0.83077,                0.48357,                0.24638,                 0.1982,                  0.076,                0.01384,                 1.5453,                  2.722,                0.92598,                 1.7489,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.1573,                 2.7153,                0.85686,                 1.2728,                0.88123,                0.72973,                0.82716,                0.47557,                0.22595,                0.18018,                0.07323,                0.01226,                 1.5609,                 2.7359,                0.98448,                 1.7487,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1824,                 2.7231,                0.94195,                 1.3066,                 0.9029,                0.71171,                0.81309,                0.46542,                0.22294,                0.16216,                0.07537,                0.01516,                 1.5898,                 2.7437,                0.98052,                  1.762,               0.000515,               0.000515,               0.000515
                     77,                 1.1642,                 2.6936,                0.89422,                 1.2813,                0.82875,                0.72973,                0.83222,                0.46777,                0.25559,                0.18919,                0.08783,                0.01739,                 1.5514,                 2.7561,                0.98544,                 1.7329,              0.0004952,              0.0004952,              0.0004952
